persona,pattern,pattern_def,thought,scenario,persona_in_scenario,thought_in_scenario
my mother is dead . pink is my favorite color . i am a yoga instructor . i married my highschool sweetheart . i enjoy being alone .,Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",I married my highschool sweetheart so ill never know if she is my true love or not.,"my mother is dead . pink is my favorite color . i am a yoga instructor . i married my highschool sweetheart . i enjoy being alone . I find myself reflecting on these traits quite often. I married my highschool sweetheart so ill never know if she is my true love or not. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
my favorite thing to do is watch old movies . i have two children but i am divorced . my mom is the best baker in my family . i am in my second year of medical school .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,My kids to not participate in any extracurricular activities at school. It's because I'm a bad parent.,"my favorite thing to do is watch old movies . i have two children but i am divorced . my mom is the best baker in my family . i am in my second year of medical school . It's something I think about regularly. My kids to not participate in any extracurricular activities at school. It's because I'm a bad parent. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
my mother was a weightlifter . my feet smell . i've blonde hair . i've brown eyes . i love money .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","My feet smell, no one will ever love me.","my mother was a weightlifter . my feet smell . i've blonde hair . i've brown eyes . i love money . It's funny how these things come to mind every now and then. My feet smell, no one will ever love me. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i m not very tall . i m looking for a job . my favorite color is red . i ve a dog .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",My last interview for a job went bad because I know the interviewer didn't like my tie.,"i m not very tall . i m looking for a job . my favorite color is red . i ve a dog . I often revisit these ideas. My last interview for a job went bad because I know the interviewer didn't like my tie. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i've a severe anxiety disorder . i'm a stay at home mom . i am currently pregnant with my second child . i love art . my husband in an engineer .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,I am a stay at home mome. I will never have a job outside the home again.,"i've a severe anxiety disorder . i'm a stay at home mom . i am currently pregnant with my second child . i love art . my husband in an engineer . These are the things that run through my mind on quiet days. I am a stay at home mome. I will never have a job outside the home again. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i work at a hospital . i love to read fiction . i am a student at a small community college . i love pasta .,Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,"I'm about to graduate college, but I still have a lot of hard classes left to take.","i work at a hospital . i love to read fiction . i am a student at a small community college . i love pasta . I find myself reflecting on these traits quite often. I'm about to graduate college, but I still have a lot of hard classes left to take. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
"i'm currently looking for employment . i can speak three languages english , french and spanish . i'm a mother of two . i'm colour blind .",Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.","I failed a color seeing test, I will never be able to drive again.","i'm currently looking for employment . i can speak three languages english , french and spanish . i'm a mother of two . i'm colour blind . It's something I think about regularly. I failed a color seeing test, I will never be able to drive again. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
"i broke my arm skiing once . my hair is a reddish brown . i am a competitive ski racer . although i ski down high hills , i've a fear of heights .",Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.",I broke my arm while skiing.  It is because I am such a bad person who lacks responsibility.,"i broke my arm skiing once . my hair is a reddish brown . i am a competitive ski racer . although i ski down high hills , i've a fear of heights . It's funny how these things come to mind every now and then. I broke my arm while skiing.  It is because I am such a bad person who lacks responsibility. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i want to teach kids in elementary school . i live in a big city . on weekends i like to go hiking . my major was american literature and education .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.",One of my steps broke the other day. I'm terrible with home maintenance.,"i want to teach kids in elementary school . i live in a big city . on weekends i like to go hiking . my major was american literature and education . I often revisit these ideas. One of my steps broke the other day. I'm terrible with home maintenance. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
my favorite thing to do is watch old movies . i have two children but i am divorced . my mom is the best baker in my family . i am in my second year of medical school .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I'm divorced. I'll probably die soon and nobody will care for my children.,"my favorite thing to do is watch old movies . i have two children but i am divorced . my mom is the best baker in my family . i am in my second year of medical school . These are the things that run through my mind on quiet days. I'm divorced. I'll probably die soon and nobody will care for my children. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i want to move to london when i get older . i work for nike as an accountant . i love soccer . i have 3 brothers . i like to invest in the stock market .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.",I work for Nike as an accountant. I'm a loser for working for a horrible company.,"i want to move to london when i get older . i work for nike as an accountant . i love soccer . i have 3 brothers . i like to invest in the stock market . I find myself reflecting on these traits quite often. I work for Nike as an accountant. I'm a loser for working for a horrible company. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
hotdogs are my favorite food . my favorite drink is pepsi . my weekends are filled with bird watching . i like reading horror novels . i work as a librarian .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,I'm sure the birds at the rookery will try and attack me to get my hotdogs.,"hotdogs are my favorite food . my favorite drink is pepsi . my weekends are filled with bird watching . i like reading horror novels . i work as a librarian . It's something I think about regularly. I'm sure the birds at the rookery will try and attack me to get my hotdogs. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i am a graduate student . i volunteer with dogs . i'm in between classes . i m always early .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I volunteer with dogs and will someday get mauled and killed by one.,"i am a graduate student . i volunteer with dogs . i'm in between classes . i m always early . It's funny how these things come to mind every now and then. I volunteer with dogs and will someday get mauled and killed by one. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
"i'm a member of four book clubs , the pta , and two bunch groups . i spend a lot of time driving my kids to sports events . i drink a lot of apple martinis when i get a girls night out . i still dream about going to paris and designing clothes . i own a black suburban .",Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","I spend so much time driving my kids, one day I'll have an accident and we'll all die.","i'm a member of four book clubs , the pta , and two bunch groups . i spend a lot of time driving my kids to sports events . i drink a lot of apple martinis when i get a girls night out . i still dream about going to paris and designing clothes . i own a black suburban . I often revisit these ideas. I spend so much time driving my kids, one day I'll have an accident and we'll all die. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
"i'd like to spend more time with my family . unfortunately , my family lives across the country from me . i like spending time with friends playing sports and going to country concerts . i am recent college graduate looking for a job in marketing . i graduated with a business degree , and marketing is all that i really enjoyed .",Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",I have difficult time communicating with my family because my family lives across the country from me.,"i'd like to spend more time with my family . unfortunately , my family lives across the country from me . i like spending time with friends playing sports and going to country concerts . i am recent college graduate looking for a job in marketing . i graduated with a business degree , and marketing is all that i really enjoyed . These are the things that run through my mind on quiet days. I have difficult time communicating with my family because my family lives across the country from me. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
"i love chocolate . i have six older sisters . i'm an avid fan of the boston celtics . i work for a small , family owned restaurant . i love walking in the park .",Should statements,"Expecting the world to be different than it is, demanding particular achievements or behaviors regardless of the realistic circumstances of the situation.",I'm such an avid fan of the Boston Celtics that I should be given court side seats to every game.,"i love chocolate . i have six older sisters . i'm an avid fan of the boston celtics . i work for a small , family owned restaurant . i love walking in the park . I find myself reflecting on these traits quite often. I'm such an avid fan of the Boston Celtics that I should be given court side seats to every game. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i like eating healthy foods . i like sleeping in . i sometimes wonder why i am not married . i have brown hair .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,I like eating healthy food because I don't know any other way,"i like eating healthy foods . i like sleeping in . i sometimes wonder why i am not married . i have brown hair . It's something I think about regularly. I like eating healthy food because I don't know any other way These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i work in accounting . i like potatoes . i have two dogs . i lease my car .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I ate a lot of potatoes today. I'm going to get obese and have a heart attack.,"i work in accounting . i like potatoes . i have two dogs . i lease my car . It's funny how these things come to mind every now and then. I ate a lot of potatoes today. I'm going to get obese and have a heart attack. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
"but , i feel lost and far away from who i truly am . i coexist well with my husband . i'm a middle aged mother of two high school boys . i have a friend group , but i don t like any of them .",Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",I coexist well with my husband but there are times when he is unusually quiet. I bet something is on his mind.,"but , i feel lost and far away from who i truly am . i coexist well with my husband . i'm a middle aged mother of two high school boys . i have a friend group , but i don t like any of them . I often revisit these ideas. I coexist well with my husband but there are times when he is unusually quiet. I bet something is on his mind. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i enjoy reading history books . i love to dance . i grew up in new hampshire . my favorite food is mexican .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.",I love to dance so it's only a matter of time until I break one of my legs and wind up in a wheelchair.,"i enjoy reading history books . i love to dance . i grew up in new hampshire . my favorite food is mexican . These are the things that run through my mind on quiet days. I love to dance so it's only a matter of time until I break one of my legs and wind up in a wheelchair. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i read tons of books . i am witty . i don't eat meat . i love to dance .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,My co-worker was very sad at the office today. I should have been witty enough to tell a joke that would lift her spirits.,"i read tons of books . i am witty . i don't eat meat . i love to dance . I find myself reflecting on these traits quite often. My co-worker was very sad at the office today. I should have been witty enough to tell a joke that would lift her spirits. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i like visiting art museums in my spare time . i just started dating someone new . i m a student . i am a vegan .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.",The last museum I went to was amazing but they were cleaning the floors at the time so the squeaky shoes ruined the peace.,"i like visiting art museums in my spare time . i just started dating someone new . i m a student . i am a vegan . It's something I think about regularly. The last museum I went to was amazing but they were cleaning the floors at the time so the squeaky shoes ruined the peace. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i work at a hospital . i love to read fiction . i am a student at a small community college . i love pasta .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I love to read fiction so my eyes will probably fail down the road.,"i work at a hospital . i love to read fiction . i am a student at a small community college . i love pasta . It's funny how these things come to mind every now and then. I love to read fiction so my eyes will probably fail down the road. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i play bingo every wednesday with my husband . my family means the world to me . i enjoy jazz music from when i was a girl . my left knee is filled with metal .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,"My left knee is filled with metal, probably before I know it all my joints will have to be replaced.","i play bingo every wednesday with my husband . my family means the world to me . i enjoy jazz music from when i was a girl . my left knee is filled with metal . I often revisit these ideas. My left knee is filled with metal, probably before I know it all my joints will have to be replaced. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i grew up on a farm . i'm a veterinarian . i have two nephews . my brother is in the army . running is my way to relax .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,my brother is in the army. He'll probably get hurt because I wasn't a better brother.,"i grew up on a farm . i'm a veterinarian . i have two nephews . my brother is in the army . running is my way to relax . These are the things that run through my mind on quiet days. my brother is in the army. He'll probably get hurt because I wasn't a better brother. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i've 2 sisters . i like to play tennis . my mother is a dentist . i am a baker .,Mental filtering,Filtering distortions occur when an individual dwells only on the negative details of a situation and filters out the positive aspects.,My sisters loves to play tennis too but I really don't enjoy playing with them because they are not up to my level.,"i've 2 sisters . i like to play tennis . my mother is a dentist . i am a baker . I find myself reflecting on these traits quite often. My sisters loves to play tennis too but I really don't enjoy playing with them because they are not up to my level. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i dropped out of college . i fly airplanes . my favorite band is tool . i'm in the army . i enjoy building computers .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,The parts manufacturer i order computer parts for is late on delivery again. But i have to get this computer built for my friend in under 48 hours. I have such bad time management skills.,"i dropped out of college . i fly airplanes . my favorite band is tool . i'm in the army . i enjoy building computers . It's something I think about regularly. The parts manufacturer i order computer parts for is late on delivery again. But i have to get this computer built for my friend in under 48 hours. I have such bad time management skills. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i like to listen to country music . i work at a bar . i surf everyday . i can play piano . people say i can cook well .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
","I work at a bar, I will likely get physically assaulted some point soon.","i like to listen to country music . i work at a bar . i surf everyday . i can play piano . people say i can cook well . It's funny how these things come to mind every now and then. I work at a bar, I will likely get physically assaulted some point soon. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i work in a warehouse . i have a very tone body . my son is a straight a student . i've a collection of video games . my wife and i enjoy long sunday drives .,Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",My son made his first B ever. Now he's going to start failing his classes.,"i work in a warehouse . i have a very tone body . my son is a straight a student . i've a collection of video games . my wife and i enjoy long sunday drives . I often revisit these ideas. My son made his first B ever. Now he's going to start failing his classes. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i love anime . i read a lot . i draw comics . i love role play . i visit comic con .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I am going to comic con next week. I will probably get into an accident on the way there.,"i love anime . i read a lot . i draw comics . i love role play . i visit comic con . These are the things that run through my mind on quiet days. I am going to comic con next week. I will probably get into an accident on the way there. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i'm trying to become a male model in hollywood . i overcame urinary cancer at age 18 . i'm on a low carb diet . i am a huge fan of classical jazz .,Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",I had a cheat day. I will never lose weight again,"i'm trying to become a male model in hollywood . i overcame urinary cancer at age 18 . i'm on a low carb diet . i am a huge fan of classical jazz . I find myself reflecting on these traits quite often. I had a cheat day. I will never lose weight again It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
but i m a frustrated driver . i'm a mother of 2 daughters . i m a people person . i love adventures like mountain climbing . my husband works at a telecom .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.","I love outdoor adventures, but I'm so clumsy I always hurt myself.","but i m a frustrated driver . i'm a mother of 2 daughters . i m a people person . i love adventures like mountain climbing . my husband works at a telecom . It's something I think about regularly. I love outdoor adventures, but I'm so clumsy I always hurt myself. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i just moved to los angeles from tokyo . i want to be a famous actor . my english isn't very good yet . i love to walk my dog everyday after work .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.","I auditioned for an acting job today, and I couldn't remember any of my lines. I did a bad job at the audition because I don't have any natural acting talent, and I'm too forgetful to learn my lines properly.","i just moved to los angeles from tokyo . i want to be a famous actor . my english isn't very good yet . i love to walk my dog everyday after work . It's funny how these things come to mind every now and then. I auditioned for an acting job today, and I couldn't remember any of my lines. I did a bad job at the audition because I don't have any natural acting talent, and I'm too forgetful to learn my lines properly. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i like sports . my favorite band is rise against . i usually go to bed late . my favorite team is the raptors . i am studying to be a dentist .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.",I was planning to stay up late but I have to get up early in the morning for my dentist exam. This night is ruined.,"i like sports . my favorite band is rise against . i usually go to bed late . my favorite team is the raptors . i am studying to be a dentist . I often revisit these ideas. I was planning to stay up late but I have to get up early in the morning for my dentist exam. This night is ruined. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
"once a year , i take a week off and head to florida . i was diagnosed with mild ocd in college . i freeze up in social situations . sometimes i feel like i ve already been through life once before . i work as a freelance accountant .",Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.","I was diagnosed with mild OCD, I should just give up life will never work for me.","once a year , i take a week off and head to florida . i was diagnosed with mild ocd in college . i freeze up in social situations . sometimes i feel like i ve already been through life once before . i work as a freelance accountant . These are the things that run through my mind on quiet days. I was diagnosed with mild OCD, I should just give up life will never work for me. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
"i'd like to spend more time with my family . unfortunately , my family lives across the country from me . i like spending time with friends playing sports and going to country concerts . i am recent college graduate looking for a job in marketing . i graduated with a business degree , and marketing is all that i really enjoyed .",Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,Marketing is such a hard job to get into. There's just too many great artists out there. I am a terrible market person.,"i'd like to spend more time with my family . unfortunately , my family lives across the country from me . i like spending time with friends playing sports and going to country concerts . i am recent college graduate looking for a job in marketing . i graduated with a business degree , and marketing is all that i really enjoyed . I find myself reflecting on these traits quite often. Marketing is such a hard job to get into. There's just too many great artists out there. I am a terrible market person. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i go surfing any chance i get . i earn passive income that no one knows about . i could never be locked down to one partner . my dreams are often bizarre . my favorite band is the muggers .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.","The surf was so great today, I know it won't be worth going out again tomorrow.","i go surfing any chance i get . i earn passive income that no one knows about . i could never be locked down to one partner . my dreams are often bizarre . my favorite band is the muggers . It's something I think about regularly. The surf was so great today, I know it won't be worth going out again tomorrow. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i just moved to los angeles from tokyo . i want to be a famous actor . my english isn't very good yet . i love to walk my dog everyday after work .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
","All the people I talk to in Los Angeles give me weird looks, I'm sure its because they think my English is terrible.","i just moved to los angeles from tokyo . i want to be a famous actor . my english isn't very good yet . i love to walk my dog everyday after work . It's funny how these things come to mind every now and then. All the people I talk to in Los Angeles give me weird looks, I'm sure its because they think my English is terrible. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i enjoy walks on the beach . i love to paint . my favorite season is spring . i'm a graphic designer .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,It's going to be too busy at the beach to paint. Everyone is going to be there.,"i enjoy walks on the beach . i love to paint . my favorite season is spring . i'm a graphic designer . I often revisit these ideas. It's going to be too busy at the beach to paint. Everyone is going to be there. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i am a college drop out . i'm learning to play the guitar . my favorite music is jim hendrix . i work at the deli counter . i like to go fishing .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","I dropped out of college, Im going to end up homeless and die on the streets.","i am a college drop out . i'm learning to play the guitar . my favorite music is jim hendrix . i work at the deli counter . i like to go fishing . These are the things that run through my mind on quiet days. I dropped out of college, Im going to end up homeless and die on the streets. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i enjoy cooking and baking . i love to travel . i grew up by the ocean . i like to eat pizza .,Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.",I burnt the cookies I made for the bake sale. I won't ever be able to bake a decent batch of cookies.,"i enjoy cooking and baking . i love to travel . i grew up by the ocean . i like to eat pizza . I find myself reflecting on these traits quite often. I burnt the cookies I made for the bake sale. I won't ever be able to bake a decent batch of cookies. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
