conv_id,emotion,kor_emotion,context,kor_context,factor
hit:232_conv:464,disgusted,역겨운,"By mistake, I saw an image of a car accident. I was disgusted.",실수로 교통사고 사진을 봤다. 나는 역겨웠다.,교통사고 사진을 봤다.
hit:241_conv:482,sentimental,감상적인,"Last year, i went to a restaurant and they had a pinball machine.",작년에 나는 레스토랑에 갔고 그들은 핀볼 기계를 가지고있었습니다.,핀볼 기계를
hit:241_conv:483,grateful,고마워하는,I saw a homeless man sweating in the sun the other day and it made me thankful for what I have.,나는 요전날 햇볕에 땀을 흘리는 노숙자를 보았고 내가 가진 것에 감사하게 되었습니다.,햇볕에 땀을 흘리는 노숙자를 보았고
hit:246_conv:492,joyful,즐거운,When the Washington Capitals won the Stanley Cup i was in such great spirits. I ran into the streets of DC celebrating. I couldn't believe this was happening.,Washington Capitals가 Stanley Cup에서 우승했을 때 저는 정말 기분이 좋았습니다. 나는 축하하는 DC의 거리로 달려갔다. 나는 이것이 일어나고 있다는 것을 믿을 수 없었다.,Washington Capitals가 Stanley Cup에서 우승했을 때
hit:252_conv:505,afraid,두려워하는,I was babysitting my 2 year old nephew and he tried to dive off the couch headfirst onto the floor.  I caught him by one leg.,나는 2 살짜리 조카를 돌보고 있었고 그는 소파에서 머리부터 바닥으로 뛰어 내려고했습니다. 나는 그의 한쪽 다리를 잡았습니다.,2 살짜리 조카를###소파에서 머리부터 바닥으로 뛰어 내려고했습니다.
hit:254_conv:509,afraid,두려워하는,I recently thought I saw a ghost in my house. It was horrifying to me.,나는 최근에 집에서 귀신을 본 것 같다고 생각했다. 그것은 나에게 끔찍했다.,집에서 귀신을 본 것 같다고 생각했다.
hit:262_conv:524,excited,흥분한,I remember when I won my first Starcraft match.,첫 스타크래프트 경기에서 우승했던 기억이 난다.,첫 스타크래프트 경기에서 우승했던 기억이 난다.
hit:263_conv:527,hopeful,희망에 찬,I recently started in vitro treatments in hopes of getting pregnant. I have been trying forever.,나는 최근에 임신을 희망하면서 체외 치료를 시작했습니다. 나는 영원히 노력해 왔다.,임신을
hit:268_conv:536,lonely,외로운,When i was younger i didn't have many friends. Would just sit at my computer and was afraid to make friends. Was okay at time but just never felt good.,어렸을 때는 친구가 별로 없었어요. 그냥 내 컴퓨터에 앉아서 친구를 사귀는 것이 두려웠을 것입니다. 시간은 괜찮았지만 결코 기분이 좋지 않았습니다.,친구가 별로 없었어요.
hit:276_conv:553,grateful,고마워하는,My mom recently completed radiation and surgery for breast cancer. I'm so thankful she had great doctors.,어머니는 최근 유방암으로 방사선과 수술을 마쳤습니다. 그녀에게 훌륭한 의사가 있다는 것에 정말 감사합니다.,훌륭한 의사가 있다는 것에
hit:292_conv:585,trusting,신뢰하는,"My husband is an over the road truck driver and we have to spend a lot of time apart. Despite this, we always make the best effort to comfort each other and sow how much we love one another.",남편은 도로 위 트럭 운전사이고 우리는 많은 시간을 떨어져서 보내야 합니다. 그럼에도 불구하고 우리는 항상 최선을 다해 위로하고 서로 사랑하는 마음을 뿌립니다.,남편은
hit:294_conv:588,disappointed,실망한,When my father didn't show up for my Soccer game i wasn't happy with him. He rather of sat in a SEARs and watch TV where he forgot he had to get to my game.,내 아버지가 내 축구 경기에 나타나지 않았을 때 나는 그와 함께 행복하지 않았습니다. 그는 SEAR에 앉아서 내 게임에 참석해야 한다는 사실을 잊어버린 TV를 시청했습니다.,아버지가 내 축구 경기에 나타나지 않았을 때
hit:294_conv:589,confident,확신하는,I used to be scared of talking to girls.  Now for some reason I've been able to strike up conversations and get phone numbers from really attractive women.,나는 여자들과 이야기하는 것이 두려웠던 적이 있다. 지금은 어떤 이유에서인지 정말 매력적인 여성들과 대화를 나누고 전화번호를 얻을 수 있었습니다.,여성들과 대화를 나누고 전화번호를 얻을 수 있었습니다.
hit:296_conv:592,proud,자랑스러운,Our family is getting together for our family reunion next weekend. Im' glad that we are all still coming together since we didn't have one last year.,우리 가족은 다음 주말에 이산가족 상봉을 위해 모입니다. 작년에 모임이 없었기 때문에 우리 모두가 여전히 함께 하고 있어 기쁩니다.,우리 가족은
hit:301_conv:603,impressed,감명받은,I was surprised I enjoy the movie IT.,나는 그 영화 IT를 즐기는 것에 놀랐다,영화 IT를 즐기는 것에
hit:311_conv:622,lonely,외로운,I wish I had friends.,친구가 있었으면 좋겠다.,친구가 있었으면 좋겠다.
hit:318_conv:636,embarrassed,당황스러운,I ripped my pants during the school play.,나는 학교 연극 도중 바지를 찢었다,바지를 찢었다
hit:326_conv:652,sentimental,감상적인,I felt this when my son turned one. It was such a special day and my husband and I spent hours going back and looking at all the photos from his first year.,"아들이 한 명이 되자 이런 느낌이 들었다. 그렇게 특별한 날이었고, 남편과 나는 첫해부터 모든 사진을 돌아보며 몇 시간을 보냈다.",아들이 한 명이 되자
hit:333_conv:666,disgusted,역겨운,Hillary Clinton makes me sick.,힐러리 클린턴이 나를 아프게 한다,힐러리 클린턴이
hit:339_conv:679,embarrassed,당황스러운,I feel bad for cheating on my now-ex girlfriend.,나는 지금의 전 여자친구를 속인 것에 대해 기분이 나쁘다.,지금의 전 여자친구를 속인 것에 대해
hit:343_conv:686,sad,슬픈,I try to forget my ex and move on.  But every day I wake up and see several things she bought me and I feel like a sledghammer hit me in the chest and stomach.,전 전여친을 잊고 계속 가려고 합니다. 그러나 매일 나는 일어나서 그녀가 나에게 사준 몇 가지 물건을 보고 큰 망치가 내 가슴과 배를 두드리는 것 같은 느낌이 듭니다.,전여친을
hit:343_conv:687,impressed,감명받은,My husband just finished taking all 4 parts for the CPA exam.  We found out a few weeks back that he passed all parts and is now a CPA.,남편은 CPA 시험 4과목을 모두 마쳤습니다. 우리는 몇 주 전에 그가 모든 부분을 통과했고 이제 CPA라는 것을 알게 되었습니다.,남편은 CPA 시험 4과목을 모두 마쳤습니다.
hit:379_conv:758,excited,흥분한,I was promoted to a managerial level in my company,나는 우리 회사에서 관리자급으로 승진했다.,관리자급으로 승진했다.
hit:386_conv:772,angry,화난,"At work today, I got blamed for a problem that I had nothing to do with.  A report was written incorrectly, and I was blamed for the incorrect figures even though I didn't provide them.","오늘 직장에서 나는 아무 상관도 없는 문제로 비난을 받았다. 보고서를 잘못 작성했고, 수치를 제공하지 않았는데도 잘못된 수치로 비난을 받았습니다.",아무 상관도 없는 문제로 비난을 받았다.
hit:392_conv:785,disappointed,실망한,Every year I'm so excited about Christmas.  And every year I'm not able to get all the things done that I want to.,매년 크리스마스에 너무 흥분해 그리고 매년 내가 원하는 모든 것을 다 할 수 없다.,매년 내가 원하는 모든 것을 다 할 수 없다
hit:399_conv:798,angry,화난,A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight,한 남자가 거의 일주일 전에 나를 들이받았다 그가 빨간불을 켜서 정말 답답했다,한 남자가 거의 일주일 전에 나를 들이받았다
hit:414_conv:829,lonely,외로운,I moved an hour away from my sister. We lived really close before that so we spent time together a lot.,나는 언니에게서 한 시간 떨어진 곳으로 이사했다. 그 전에는 정말 가까이 살았기 때문에 함께 시간을 많이 보냈습니다.,언니에게서 한 시간 떨어진 곳으로 이사했다.
hit:437_conv:875,afraid,두려워하는,I am finding it hard to meet the project deadline. And this makes me anxious and stressed throughout the week,프로젝트 기한을 맞추기가 어렵습니다. 그리고 이것은 일주일 내내 나를 불안하게 만들고 스트레스를 줍니다.,프로젝트 기한을 맞추기가 어렵습니다.
hit:447_conv:894,anticipating,기대하는,I can't wait for next Sunday,다음 주 일요일을 기다릴 수 없다,다음 주 일요일을
hit:451_conv:902,sad,슬픈,I broke my favorite drinking glass.,나는 내가 가장 좋아하는 술잔을 깨뜨렸다,나는 내가 가장 좋아하는 술잔을 깨뜨렸다
hit:466_conv:932,surprised,놀란,A birthday bash was organized by my colleague without my knowledge,내가 모르는 사이에 동료가 생일 파티를 주최했습니다.,동료가 생일 파티를 주최했습니다.
hit:477_conv:954,afraid,두려워하는,One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.,한 번은 술을 너무 많이 마시고 너무 허약해서 죽는 줄 알았습니다. 나는 토했고 훨씬 나아졌다.,술을 너무 많이 마시고
hit:486_conv:972,surprised,놀란,I feel surprise when new gifts are offer me anyone,나는 누군가에게 새로운 선물을 줄 때 놀라움을 느낀다.,누군가에게 새로운 선물을 줄 때
hit:497_conv:994,anticipating,기대하는,I can't wait for the weekend.  I am going to Disney World in Florida.,주말이 기다려지네요. 플로리다에 있는 디즈니 월드에 갑니다.,디즈니 월드에
hit:504_conv:1009,hopeful,희망에 찬,My mother recently applied for a much better job than she has now and we are all crossing our fingers that she gets it. It pays much better and has great benefits as well.,우리 어머니는 최근에 지금보다 훨씬 더 나은 직업에 지원했고 우리는 모두 그녀가 그것을 얻는다는 것을 알고 있습니다. 훨씬 더 잘 지불하고 큰 이점도 있습니다.,우리 어머니는 최근에 지금보다 훨씬 더 나은 직업에 지원했고
hit:505_conv:1011,joyful,즐거운,I happened to have all the ingredients in my fridge to make my favorite sandwich.,가장 좋아하는 샌드위치를 만들기 위해 냉장고에 모든 재료가 있었다.,가장 좋아하는 샌드위치를 만들기 위해
hit:523_conv:1047,excited,흥분한,"I remember when I bought my first car, it feels just like yesterday.",처음 차를 샀을 때의 기분이 마치 엊그제 같습니다.,처음 차를 샀을 때의
hit:550_conv:1101,afraid,두려워하는,Me and a few friends got offered to go to this party off campus. It seemed really sketchy but it turned out fine and it was a lot of fun.,나와 몇몇 친구들은 캠퍼스 밖에서 열리는 이 파티에 가자는 제안을 받았습니다. 정말 초라해보였으나 결과가 괜찮아서 재미있었습니다.,파티에###초라해보였으나
hit:557_conv:1115,afraid,두려워하는,I was so frightened when a black cat started following me home. I am very superstitious and though perhaps it was a shapeshifter.,집에 검은 고양이가 나를 따라오기 시작했을 때 나는 너무 무서웠다. 나는 매우 미신적이며 아마도 변신술사였을 것입니다.,검은 고양이가 나를 따라오기 시작했을 때
hit:581_conv:1163,caring,돌보는,"There was a wild or ferril cat that hung around my house for months. I fed him and took hi to the vet to be neutered. Instead of releasing him, I kept him.",몇 달 동안 우리 집 주변에 사나운 고양이 한 마리가 있었습니다. 나는 그에게 먹이를 주고 중성화 수술을 받기 위해 수의사에게 데려갔다. 그를 풀어주는 대신에 나는 그를 지켰다.,사나운 고양이 한 마리가
hit:598_conv:1197,proud,자랑스러운,I lost 40 pounds by eating right and going to the gym. Some people were surprised at my results.,제대로 먹고 체육관에 가서 40파운드를 감량했습니다. 어떤 사람들은 내 결과에 놀랐습니다.,40파운드를 감량했습니다.
hit:605_conv:1211,embarrassed,당황스러운,"I had a big argument with my mom over who lost her glasses because I knew that I didn't do it. Upon thinking about it more, I'm actually the one that lost them.",나는 안경을 잃어버리지 않았다는 것을 알고 있었기 때문에 어머니와 큰 말다툼을 했다. 곰곰이 생각해보면 내가 잃은 건 사실이다.,안경을 잃어버리지 않았다는 것을 알고 있었기 때문에 어머니와 큰 말다툼을 했다.
hit:609_conv:1219,impressed,감명받은,"One of my friends had a really low ACT score to begin with, as it was around a 22. I thought he couldn't get it much higher, but he managed to try really hard and get it up to a 28, which really surprised me.",제 친구 중 한 명은 ACT 점수가 22점 정도였기 때문에 처음에는 ACT 점수가 매우 낮았습니다. 저는 그가 훨씬 더 높을 수 없다고 생각했지만 정말 열심히 노력하여 28점까지 올라 정말 놀랐습니다. 나.,제 친구###정말 열심히 노력하여 28점까지 올라
hit:623_conv:1247,angry,화난,I was waiting for a package and I watched the mailman drive by my house without delivering it.,나는 소포를 기다리고 있었고 우편 배달부가 그것을 배달하지 않고 집으로 운전하는 것을 보았습니다.,소포를 기다리고 있었고 우편 배달부가 그것을 배달하지 않고
hit:631_conv:1263,angry,화난,I was really peeved when I saw that my cat peed on the carpet.,고양이가 카펫에 오줌을 싸는 것을 보고 정말 화가 났습니다.,고양이가 카펫에 오줌을 싸는 것을 보고
hit:639_conv:1279,angry,화난,My friends are late to plans all the time.,내 친구들은 항상 계획에 늦습니다.,내 친구들은 항상 계획에 늦습니다.
hit:652_conv:1304,trusting,신뢰하는,I remember my mom and I always having a trusting relationship.,나는 어머니와 항상 신뢰 관계를 유지했던 것을 기억합니다.,어머니와
hit:654_conv:1309,angry,화난,My sister stole money from me once.,언니가 나에게서 돈을 한 번 훔쳤다,언니가 나에게서 돈을 한 번 훔쳤다
hit:668_conv:1337,hopeful,희망에 찬,Everyday I feel more optimistic that this country is heading into right direction. Slowly but surely the light at the end of tunnel is coming.,매일 이 나라가 올바른 방향으로 향하고 있다는 것을 더욱 낙관적으로 느낀다. 천천히 하지만 터널 끝에 빛이 찾아오고 있는 것은 틀림없다.,이 나라가 올바른 방향으로 향하고 있다는 것을
hit:677_conv:1355,embarrassed,당황스러운,I regret my last boyfriend. I hate to even tell people we dated.,나는 마지막 남자친구를 후회한다 우리가 사귀던 사람들에게도 말하고 싶지 않다.,마지막 남자친구를
hit:684_conv:1369,grateful,고마워하는,I got tipped at work yesterday.,어제 회사에서 팁을 받았습니다.,팁을 받았습니다.
hit:698_conv:1396,proud,자랑스러운,I got all A's last semester.,나는 지난 학기에 A를 모두 받았다.,A를 모두 받았다.
hit:699_conv:1398,sentimental,감상적인,I love to reminisce about my youth with my daughter. She acts so much like me I know exactly what stories she would enjoy.,나는 딸과 함께 어린 시절을 회상하는 것을 좋아합니다. 그녀는 나처럼 행동합니다. 나는 그녀가 어떤 이야기를 좋아할지 정확히 알고 있습니다.,딸과 함께 어린 시절을 회상하는 것을
hit:714_conv:1428,joyful,즐거운,"I was joyful when my brother was born,",동생이 태어났을 때 나는 기뻤다.,동생이 태어났을 때
hit:723_conv:1446,disgusted,역겨운,"Once I was getting dressed and a lizard was on my shirt, I think reptiles are gross and disgusting, I screammed out. YUCK! It was now on me.",옷을 갈아입고 셔츠에 도마뱀이 묻자 파충류는 끔찍하고 역겨운 것 같아 소리쳤습니다. 왝! 그것은 지금 나에게 있었다.,파충류는
hit:727_conv:1454,prepared,준비된,"I've bought everything I need in the house, foods, ammos, and other essentials that would last me months. That is, in event of the collapse of the government in this land of free.","나는 집에 필요한 모든 것, 음식, 탄약, 그리고 몇 달 동안 버틸 수 있는 기타 필수품을 샀습니다. 즉, 이 자유의 땅에서 정부가 무너지는 경우입니다.","집에 필요한 모든 것, 음식, 탄약, 그리고 몇 달 동안 버틸 수 있는 기타 필수품을"
hit:731_conv:1463,afraid,두려워하는,I felt scared when I had to go to the doctor to have a lump checked out on my side. I thought it was going to be for the worse.,옆구리에 덩어리가 있는지 확인하기 위해 병원에 가야 했을 때 무서웠다. 나는 그것이 더 나빠질 것이라고 생각했다.,옆구리에 덩어리가 있는지 확인하기 위해
hit:743_conv:1486,surprised,놀란,When I found out I was pregnant I was quite aghast. We weren't planning on kids.,임신 사실을 알았을 때 나는 상당히 당황했습니다. 우리는 아이들을 계획하지 않았습니다.,임신 사실을 알았을 때
hit:751_conv:1503,jealous,질투하는,My friend just got engaged. I am so envious because I don't even have a boyfriend.,제 친구가 막 약혼했어요. 남자친구가 없어서 너무 부럽습니다.,제 친구가 막 약혼했어요.
hit:753_conv:1507,disappointed,실망한,I went to court recently and the other party didn't show up again. What a waste of my time.,최근 법정에 갔는데 상대방이 다시 나타나지 않았다. 내 시간을 너무 낭비했어.,법정에 갔는데 상대방이 다시 나타나지 않았다.
hit:757_conv:1514,lonely,외로운,"Just moved to a new city, new work, and I've got no friends.",새로운 도시로 이사하고 새로운 직장을 얻었고 친구가 없습니다.,친구가 없습니다.
hit:758_conv:1516,angry,화난,People are always parking in front of my apartment. It really gets on my nerves.,사람들은 항상 내 아파트 앞에 주차하고 있다 정말 신경이 곤두서 있다,사람들은 항상 내 아파트 앞에 주차하고 있다
hit:766_conv:1533,disappointed,실망한,My brother was coming back from a trip. I was expecting from him to bring to me a gift.,우리 형은 여행을 떠나서 돌아오고 있었다 나는 그가 선물을 가져오길 기대하고 있었다,형은###그가 선물을 가져오길
hit:772_conv:1545,anticipating,기대하는,I'm really looking forward to the future.,미래가 정말 기대됩니다.,미래가
hit:777_conv:1555,angry,화난,Someone hit my car during the night.,누군가 밤중에 내 차를 들이받았다,내 차를 들이받았다
hit:787_conv:1574,anticipating,기대하는,"Back when I used to wrestle I always expected my opponent to be better than me, so I would go 110% in every match",예전에 레슬링을 할 때 항상 상대가 나보다 잘할 거라 기대했기 때문에 매 경기에 110% 갔습니다.,상대가 나보다 잘할 거라
hit:790_conv:1580,confident,확신하는,I'm working toward a end of year goal right now.,지금은 연말 목표를 향해 달려가고 있습니다.,연말 목표를 향해 달려가고
hit:793_conv:1587,angry,화난,I really hate when people who work in customer service dont want to help the customer.,고객 서비스를 하는 사람들이 고객을 돕고 싶지 않을 때 정말 싫다.,고객 서비스를 하는 사람들이 고객을 돕고 싶지 않을 때
hit:800_conv:1601,excited,흥분한,The day I got the email saying I had been accepted into my university of choice was amazing,내가 선택한 대학에 합격했다는 이메일을 받은 날은 정말 좋았습니다.,내가 선택한 대학에 합격했다는 이메일을
hit:825_conv:1651,excited,흥분한,"Tomorow, I am starting a trip of six months to visit different country. I am so happy and I cannot sleep.","내일, 나는 다른 나라를 방문하기 위해 6개월의 여행을 시작합니다. 나는 너무 행복하고 잠을 잘 수 없습니다.",6개월의 여행을 시작합니다.
hit:826_conv:1653,disappointed,실망한,When my relationship ended it was very hard.,나의 관계가 끝났을 때 그것은 매우 힘들었다.,나의 관계가 끝났을 때
hit:869_conv:1739,afraid,두려워하는,I have been watch thing new stephen king series on hulu. It is frighteneing.,나는 hulu에서 새로운 스티븐 킹 시리즈를 시청했습니다. 무섭다.,스티븐 킹 시리즈를 시청했습니다.
hit:879_conv:1758,embarrassed,당황스러운,I feel horrible.  I cheated on my husband last night.,기분이 끔찍하다. 어젯밤에 남편을 속였습니다.,어젯밤에 남편을 속였습니다.
hit:881_conv:1762,angry,화난,"I was recently really excited for a baseball game, but when we got there there was heavy rain and they cancelled the game.",최근 야구 경기에 정말 흥분했지만 우리가 도착했을 때 폭우가 쏟아져 경기를 취소했다.,폭우가 쏟아져 경기를 취소했다.
hit:891_conv:1782,embarrassed,당황스러운,I was in such a hurry after waking up late. I had to rush getting ready. When I got to work I realized that I still had on my pajama pants.,나는 늦게 일어나서 너무 바빴다. 서둘러 준비해야 했습니다. 직장에 도착했을 때 나는 내가 아직 잠옷 바지를 입고 있다는 것을 깨달았습니다.,내가 아직 잠옷 바지를 입고 있다는 것을
hit:900_conv:1800,proud,자랑스러운,a situation where I felt proud is when i was able to graduate from college,내가 자랑스러워했던 상황은 내가 대학을 졸업할 수 있었을 때다.,내가 대학을 졸업할 수 있었을 때다.
hit:902_conv:1804,lonely,외로운,"I once couldn't find anyone to go out with, so I went to the bar alone.",예전에는 같이 갈 사람이 없어서 술집에 혼자 갔었어요.,술집에 혼자 갔었어요.
hit:904_conv:1808,sad,슬픈,I was disheartened to learn the tv show colony wont be coming back,나는 TV 쇼 식민지가 돌아 오지 않을 것이라는 사실을 알고 낙담했습니다.,TV 쇼 식민지가 돌아 오지 않을 것이라는 사실을 알고
hit:905_conv:1811,confident,확신하는,I knew I was going to get the promotion.,승진할 줄 알았어요.,승진할
hit:907_conv:1814,afraid,두려워하는,I do not like the dark.,나는 어둠을 좋아하지 않는다.,어둠을
hit:914_conv:1829,proud,자랑스러운,I was very happy when my son went to college.,아들이 대학에 갔을 때 나는 매우 기뻤습니다.,아들이 대학에 갔을 때
hit:917_conv:1835,anticipating,기대하는,School is about to start again. Me and my kids are so ready!,학교가 다시 시작되려고 합니다. 나와 내 아이들은 너무 준비가되어 있습니다!,학교가 다시 시작되려고
hit:925_conv:1850,angry,화난,My uber had me late to work this morning. I was not happy.,내 우버가 오늘 아침에 나를 늦게 일하게 했다. 나는 행복하지 않았다.,우버가 오늘 아침에 나를 늦게 일하게 했다.
hit:927_conv:1854,trusting,신뢰하는,My husband used to be a drug addict. During that time he cheated on me many time. No matter what he did though I always stayed true to him.,남편은 마약 중독자였습니다. 그 동안 그는 여러 번 나를 속였다. 그가 무엇을 하든지 나는 항상 그에게 충실했습니다.,남편은
hit:928_conv:1856,disgusted,역겨운,My friend just dumped his girlfriend for a prostitute.,내 친구가 창녀 때문에 여자친구를 차버렸어요.,창녀 때문에 여자친구를 차버렸어요.
hit:930_conv:1860,embarrassed,당황스러운,I failed my final exam. Now I'll lose my scholarship.,나는 기말 시험에 떨어졌다. 이제 장학금을 잃게 됩니다.,기말 시험에 떨어졌다.###장학금을 잃게 됩니다.
hit:940_conv:1881,afraid,두려워하는,I haven't heard from my girlfriend in 2 weeks. Wonder what's going on?,2주 동안 여자친구에게서 소식을 듣지 못했습니다. 무슨 일인지 궁금하세요?,2주 동안 여자친구에게서 소식을 듣지 못했습니다.
hit:957_conv:1915,afraid,두려워하는,I went to a haunted house and was scared of the ghosts.,유령의 집에 가서 귀신이 무서웠어요.,귀신이
