Num,Scenario,Thought,Label
15,"When I work with Ir colleagues, I feel that Ir burden is heavier and theirs is lighter.",Being surrounded by people all day long and still feeling lonely is just a lesson for me.,Emotional Reasoning
16,"I find it difficult to concentrate, Ir learning efficiency is low, and Ir mind is empty all day long","My family all hoped that I would study hard and achieve success in the future, but I just couldn't concentrate on my studies. I feel like a sinner for letting them down.",Personalization
17,"I are on a diet, but I secretly eat a cookie and I regret it very much.",I must have disappointed my parents terribly and they would never consider me their baby again.,Mind Reading
18,"I were preparing to run for president of the society. I prepared very hard and everyone around I thought I could be elected, but in the end, I unfortunately lost.",My life will fail like an election.,Fortune-telling
19,"When someone says I look unhappy, it's as if they owe I money.",How come I can’t even control my own facial expression and it affects other people? I’m so useless.,Personalization
20,"My grades weren't improving, and my father would turn his face away and ignore me as soon as he saw me.",He just wants me to get good grades for him. I'm not his biological child at all.,Mind Reading
21,"I had an argument with Ir best friend, neither of I gave in and both expressed the desire to break up.",I can even quarrel with my best friend. When can I change my temper? I just have a very bad temper. I am a hot-tempered person.,Labeling
22,"I are full of interest in various campus activities, but I are also worried about failure.",I am a person with low self-esteem. I can never do anything well.,Labeling
23,Ir roommate is chatting with I and I disagree with her opinion.,"No matter how much I talked, I couldn't convince him that day. Communicating with others to convey your own views is a laborious and ineffective task. I will not do such a thing again.",Emotional Reasoning
24,I are walking on the road and a truck comes and splashes water all over I.,The truck splashed water all over me even though it saw me there. It was intentional.,Mind Reading
25,"After being admitted to a key high school from a second-rate junior high school, I find that Ir grades have dropped a lot.","I was born with a stupid brain. I can't learn these things. No matter how hard I try, I can't learn them well.",Emotional Reasoning
26,"I saw that a friend needed an umbrella, and when I chatted with him privately, I was told that he had already borrowed it.","He must think I'm easy to bully, and he just randomly posts on WeChat Moments to reject me. That must be the case.",Mind Reading
27,"My grades weren't improving, and my father would turn his face away and ignore me as soon as he saw me.","My dad will say bad things to my mom, and she won't love me anymore",Mind Reading
28,"All Ir classmates have gone out and I are alone in the classroom, feeling a little lonely.",I am so lonely in the dormitory. They go out without calling me. No one will care if I die alone in the dormitory.,Overgeneralization
29,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.",I can't even walk up and down the stairs and I broke my leg. I am such a loser.,Labeling
30,"I find that Ir friends seem to have slowly found their partners, but I are still alone.","Once they have a partner, they will no longer focus their emotions on me, and we will drift apart.",Fortune-telling
31,"Ir parents always compare I with other children, and I feel unhappy.","Many parents like to compare, just get used to it.",No Distortion
32,Ir 25-year-old son is still missing,"I could only watch my son jump into the water to save someone, but he didn't come out himself and I could only sit in this wheelchair and watch. I am such a useless father.",Labeling
33,I feel like sometimes Ir classmates know the correct answer before the teacher has even finished reading.,"If I can't even be the first to do such small things, what else can I do well? I will never catch up with others.",Overgeneralization
34,Ir lover passed away unexpectedly some time ago.,The person who loves me the most in the world is dead. I have nothing left. There is no meaning in my life. I just want to die right now.,All-or-nothing thinking
35,"My grades weren't improving, and my father would turn his face away and ignore me as soon as he saw me.","My brain is so stupid that no matter what I do, I can't make any progress. I feel like a useless person.",Labeling
36,"I originally thought that I could be admitted to graduate school, but Ir name was not on the final list.","I could hardly finish any work, and the future seemed hopeless to me.",All-or-nothing thinking
37,"I forgot to bring Ir homework, so the teacher punished I by making I go to the back of the class.","I was the only one who was punished to stand, and the other students must have been laughing at me in their hearts.",Mind Reading
38,"My mother and I discussed future plans. She mentioned many plans and expressed her concerns about the current situation, but I didn’t agree with some of them.","If I can’t live my life the way I want, my existence will become meaningless.",All-or-nothing thinking
39,"I see others hanging out together on the weekends, but no one invites I to hang out.","I don’t even have any friends. This kind of life has no meaning at all, only darkness.",All-or-nothing thinking
40,It’s frustrating that Ir parents are pushing I to get married and have kids.,"You can't be too impatient for quick success. If the time is not right for marriage, you can't hinder the other party. In my free time, I should tell my parents about my thoughts.",No Distortion
41,"Ir parents always compare I with other children, and I feel unhappy.","Parents all over the world are the same, they never care about their children's emotions",Overgeneralization
42,"I had an argument with Ir best friend, neither of I gave in and both expressed the desire to break up.",He wanted to break up with me a long time ago. This is obviously a small matter. There is no need at all.,Mind Reading
43,"During the COVID-19 pandemic, as a medical worker, I need to work overtime without pay",How can I end this life?,Emotional Reasoning
44,"I had a big fight with Ir parents, and they were very sad afterwards, and I felt very guilty.","They gave birth to me, but I always quarrel with them and make them angry. They must regret giving birth to a child like me.",Mind Reading
45,I have always lived in a family with relatively poor economic conditions and Ir parents do not have a high income.,I am a poor guy. People around me don’t look down on me. I live in pain every day without enough food to eat and warm clothes to wear. I want to die.,Labeling
46,"I recently wanted to see Ir graduation photo, but I couldn't find it.","It must have been my roommate who rummaged through my things and took them. He must still be mad at me for what happened last time, and this time he was deliberately taking revenge on me.",Mind Reading
47,"I just got promoted recently, but I'm afraid I'm not up to the task.",I just got promoted. This is the boss's trust in my ability. I should work harder.,No Distortion
48,"I recently wanted to see Ir graduation photo, but I couldn't find it.",How would my classmates look at me if I could lose such a precious thing? They would definitely think that I have no affection at all and am a heartless person.,Labeling
49,I are the Ingest child in the family and I feel neglected by Ir parents.,"I know that the reason they seem to ignore me is because my parents are busy with work, and if I tell them how I feel, they will pay more attention to me.",No Distortion
50,"I've always thought I were the best employee in the company, but I hear Ir boss doesn't think so.",I'm not the best doctor and my career as a doctor sucks.,All-or-nothing thinking
51,"I have been in contact with Ir family less often, only sending text messages.",I will gradually drift apart from my family until I lose contact with them completely.,Fortune-telling
52,"I feel that Ir colleagues at work work very hard every day, which brings I pressure.","He definitely has no time for romance or life, he only knows how to work, what a boring life",Mind Reading
53,I got a cramp while swimming and feel a little sad.,"No, I have a cramp. I need to get ashore and rest for a while. If I stay in the water any longer, something bad might happen.",No Distortion
54,"Without Ir care and supervision, the two children gradually developed behavioral problems and failed their schoolwork.",Children nowadays are like this. They have endless love from their parents but don’t take it seriously. They don’t cherish such good conditions and waste them all.,All-or-nothing thinking
55,"I are a senior now, but I have been struggling with whether to take the postgraduate entrance examination or work.","No matter what I do, there is no good result. I am basically a waste.",All-or-nothing thinking
56,"People around I told others the secret that I liked a boy in the next class, and it even reached Ir ears.",Did that boy know about this? He must think I'm ridiculous.,Mind Reading
57,I feel sad because Ir boss has decided to reduce the salaries of all of Ir employees.,The boss deliberately lowered our salary in order to force us to leave the company voluntarily.,Mind Reading
58,"Today, the teacher assigned me a temporary, urgent and challenging task.","The teacher trusts me, but I will definitely betray her trust.",Emotional Reasoning
59,"While walking on the road, a stray dog rushes up and bites I.","I must have rabies now, my family and friends must be very scared of me",Mind Reading
60,"In the heavy traffic, a car passed us.","Damn, that's scary. I feel like I'll have a psychological trauma about driving for the rest of my life.",Overgeneralization
61,Accidentally scalded by boiling water,It's because I was so stupid that I got scalded by boiling water.,Emotional Reasoning
62,"Because of the epidemic recently, Ir cake shop business is not very good.","Once the epidemic situation eases, I believe business will definitely pick up.",No Distortion
63,"I feel that Ir colleagues at work work very hard every day, which brings I pressure.",I'm just an incompetent piece of shit.,Labeling
64,"I made a vow when I was Ing that I would have a successful career and a happy family. But when I grew up, I found that I had to work overtime even if I earned 3k a month. I had to pay rent and living expenses every month, and my savings were very little.",I will never be able to escape this kind of life and will always struggle in this bottomless pit.,Overgeneralization
65,Ir parents have been arguing recently and haven't paid much attention to I.,"They don't love each other or me, they have no feelings, they are just empty shells, torturing each other.",Mind Reading
66,"I feel that Ir colleagues at work work very hard every day, which brings I pressure.","He is not only hardworking, but also goal-oriented and motivated, and knows how to plan his work well.",No Distortion
67,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.","Knowing that my interruption affected his test results, I bothered him so much that he failed the test.",Personalization
68,"The teacher assigned a seemingly very troublesome experiment, and I have been procrastinating for a while.","If I continue like this, the teacher will definitely think that I am not studying hard, and he will hate me.",Fortune-telling
69,"I are talking to someone and their phone rings, but they don't pick up.","Our conversation was just small talk. If there was something important on his phone, I would be a sinner.",Personalization
70,"I made an investment, spent part of Ir money, and the investment failed.",All the money and my family's expectations were shattered. They must be extremely disappointed in me now.,Mind Reading
71,"I recently stayed out all night, and Ir father talked to I, and his words were somewhat excited and angry.","I quickly admitted my mistake. It was indeed not right to stay out all night. My father was already a little agitated, and I must not allow him to get even angrier.",No Distortion
72,I suddenly find Irself in a situation where Ir home has been robbed.,"I had saved all my money for a new house, and now what can I do? My life has been ruined by this damn thief! I can no longer realize my dream.",All-or-nothing thinking
73,"I are full of interest in various campus activities, but I are also worried about failure.","Even if I succeed, no one will want to play with someone like me.",Mind Reading
74,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.","I eat with him every day. It must be because I eat slowly. He must think I am wasting his time, so he doesn't eat with me.",Mind Reading
75,I joined a club but didn't make any friends or acquaintances.,"I joined the club because of my interest and hobby, and it doesn’t matter whether I make friends or not.",No Distortion
76,"I were forced to take nude photos, and I felt very uncomfortable but didn't dare to tell others.","I want to bring those who have caused me psychological harm to justice, and I want to have the courage",No Distortion
77,The takeaway order was stolen.,"I am just too lazy. If I had gone downstairs earlier to wait for the takeaway, it wouldn't have been stolen by others. This is all my own fault.",Personalization
78,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.",Maybe something happened to them. I suddenly understood why some people like to watch food shows.,No Distortion
79,I ate a lot of high-calorie foods but still couldn't lose weight.,"Whenever I go out, I can feel people whispering around me. They must be laughing at my fat body. I lower my head in shame.",Mind Reading
80,"I recently wanted to see Ir graduation photo, but I couldn't find it.","I am a little sad, but the memories are kept in my heart. I think we should look forward and this little thing is nothing.",No Distortion
81,"When I applied for the job, HR said that I did not meet the requirements of our company.","What a pity, there is always someone better than you. I must continue to work hard to improve myself.",No Distortion
82,"I were forced to take nude photos, and I felt very uncomfortable but didn't dare to tell others.","Perhaps it was my carelessness that led myself into the vortex of tragedy, and now I just want to escape from reality.",Personalization
83,"I made an investment, spent part of Ir money, and the investment failed.","I had high hopes for this project, but it doesn't matter, I will choose other projects more carefully next time.",No Distortion
84,"When Ir colleagues evaluated Ir performance, I ranked last.","How could it be the last one? It really dampens my enthusiasm. In my opinion, performance evaluation should not exist.",Labeling
85,"I went to the cake shop and queued up to buy a cake, but the cake I wanted was sold out.","I couldn’t even grab a piece of cake, and I won’t be able to grab anything in the future either.",Fortune-telling
86,I are a teacher and there are children in the school who are disobedient and disruptive in class.,I am in a position but cannot do my job. I should have resigned long ago to avoid being annoyed by my classmates and having to endure this every day.,Emotional Reasoning
87,"If I suddenly wake up at three in the morning and still feel very sleepy, Ir work tomorrow may be affected.",I feel like I'm dying. I really hate waking up in the middle of the night.,Emotional Reasoning
88,I are not a good-looking child and I feel a little inferior.,"The world only cares about beautiful people: I was born ugly, I will be ugly all my life, and I don’t think I will ever become more beautiful",All-or-nothing thinking
89,"I remarried, and Ir two stepchildren refused to call I ""Dad"", saying that I were not their father at all and refused to be disciplined by him.","The child really doesn't know his position, it's annoying",Labeling
90,I joined a club but didn't make any friends or acquaintances.,Why can't I make friends? I'm so sad without friends.,Emotional Reasoning
91,The takeaway order was stolen.,I am an unlucky person. Having my takeaway food stolen is just my fate. I have long been accustomed to this kind of thing.,Labeling
92,Ir mother-in-law thinks I are clumsy and not considerate enough.,My mother-in-law will never get used to me and will never be satisfied with me.,Overgeneralization
93,My father often used the excuse of being busy with work to stay at the university and rarely came home even on weekends.,"I don't feel a bit of care, no one cares about me, so I might as well just fall into depravity, since no one cares anyway",Emotional Reasoning
94,"When I were a child, someone molested I, and I've been feeling resentful about it ever since.","None of the men are good, they are all animals who think with their lower body and are slaves to their desires.",Overgeneralization
95,"I feel like I have a good relationship with Ir roommates every day, but I just can't fit in.","I can't even get along with my roommate, so I'm destined to never make close friends in this life.",Overgeneralization
96,Ir colleague just takes the credit for something I worked so hard on.,"It's impossible that the boss was not aware of this at all, he must have turned a blind eye to his colleagues.",Mind Reading
97,"I have been very busy at work recently and Ir boss has put a lot of pressure on I, but Ir colleagues around I don't seem to be abnormal.","The pressure is so great, and I am the only one here. My days in the company will definitely be very difficult.",Overgeneralization
98,No messages or calls for two weeks.,"I don't have many contacts to begin with, which is normal.",No Distortion
99,I find that Ir roommate seems to be competing with I secretly.,It's obvious that she doesn't want me to be better off than him.,Mind Reading
100,"Unfortunately, I've been feeling very uncomfortable lately, but the specific illness hasn't been identified yet.","I don't know what's going on yet, just wait for the result.",No Distortion
101,I are devastated when Ir beloved puppy passes away.,Raising a dog is really sad. I never dare to keep one again. The pain is too unbearable.,Emotional Reasoning
102,I have failed the driving school exam many times and failed to learn how to drive.,I can't even learn how to drive a car. I have no learning ability. I am a loser.,Labeling
103,"The husband thinks his wife is wasting money by buying clothes every week, and the wife thinks her husband gives too much money to his family.","Everyone thinks differently, just clear up the misunderstandings because we all think uniquely.",No Distortion
104,"While walking on the road, a stray dog rushes up and bites I.",Stray dogs are a nuisance. They just bite people everywhere and hurt everyone!,Overgeneralization
105,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.",She must have some urgent matter.,No Distortion
106,"I and Ir roommates have very different living habits, and conflicts arise over trivial matters in daily life","We always quarrel over trivial matters, and sooner or later we will fight!",Fortune-telling
107,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I","She didn't come to have dinner with me, and I felt a little uncomfortable because the food didn't enjoy my appetite.",Emotional Reasoning
108,"Ir boss criticized I today, saying that I are not capable enough at work.","I can't even do such a small thing, it seems I will never be able to do my job well.",Overgeneralization
109,"I thought I would definitely get a scholarship, but unfortunately it was not awarded.","To get the next scholarship, I must work harder.",No Distortion
110,I feel sad because Ir boss has decided to reduce the salaries of all of Ir employees.,"He suddenly reduced our salary for no reason. He probably wanted to fire us, but he couldn't ask for it, so he wanted us to give up.",Mind Reading
111,Ir parents are seriously ill and I don’t have enough money to treat them.,"If only I could get sick for my parents, if only I could die for my parents",Emotional Reasoning
112,Suddenly I'm walking outside and realize Ir clothes are on inside out.,My clothes are inside out. I feel so embarrassed. What should I do? The whole world is watching me dress so strangely.,All-or-nothing thinking
113,The investment failed and I lost my savings,"They won't believe I'm depressed, my family will think I'm faking it, or that everyone feels down sometimes.",Mind Reading
114,Ir father got drunk and angry today and kicked I out.,Dad must be angry because I did something wrong. I must find out what the problem is so that he won't be angry anymore.,Personalization
115,"I thought I would definitely get a scholarship, but unfortunately it was not awarded.","There is no point in trying, and it won't solve the problem.",All-or-nothing thinking
116,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.","He wouldn’t help me for nothing, secretly expecting me to give it back.",Mind Reading
117,"I had an argument with Ir best friend, neither of I gave in and both expressed the desire to break up.","During this period, I seemed to lose control of my world and everything seemed chaotic.",No Distortion
118,"In the heavy traffic, a car passed us.","I was so angry that I rolled down the window and swore at him, but I felt upset that I couldn't control my behavior. I thought I had low self-control and was a loser who couldn't control my emotions.",All-or-nothing thinking
119,I did not progress the project assigned to I by Ir teacher as scheduled and were criticized by Ir teacher.,"Anyway, I don't want to do this project. The teacher is giving me a cold shoulder. This project is hard for me to deal with. I'm just not going to do it.",Emotional Reasoning
120,"I worked hard doing housework, but Ir parents didn't see it.",I am very happy after finishing the housework. It feels good to do some work occasionally.,No Distortion
121,"I studied hard, expecting to do well on the test, but I just barely passed.",It seems that I still have some deficiencies in this part of knowledge.,No Distortion
122,"Ir grades are very poor. Although I study very hard, the results are still not ideal.","This is not something I am good at, so there is no need to worry about it. I can spend more energy on areas that interest me and achieve some ideal results.",No Distortion
123,Junior brother thinks I haven't trained him enough,"He must have not done his job well recently and hit a bottleneck, so he is picking on me on purpose.",Fortune-telling
124,"I are a senior now, but I have been struggling with whether to take the postgraduate entrance examination or work.",Should I take the postgraduate entrance examination or work? It’s so difficult and confusing to make a choice.,No Distortion
125,The investment failed and I lost my savings,I was addicted to self-worship. The failure of the project was all my fault. I had harmed my family. I was a sinner.,Personalization
126,"A friend asks I out for dinner, but I already have an appointment.",He no longer considers me a friend. He will team up with those who hate me to bully me. There will never be a moment of peace in my life again.,Fortune-telling
127,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.",What if she just can't refuse my request because of her face? What if she also thinks I'm troublesome?,Mind Reading
128,I are not a good-looking child and I feel a little inferior.,"Every time I walk down the street, I feel like people are laughing at my appearance.",Mind Reading
129,"I go out without an umbrella, but suddenly it starts to rain heavily and I are not very happy.",My clothes are all wet. I wonder if I will meet anyone I know later. That would be too embarrassing. I really want to find a crack in the ground to crawl into.,Mind Reading
130,The review materials I prepared do not correspond to the exam at all.,"All the efforts in this world are in vain, and all the hard work is useless. Why bother trying? Just start. Everything is destined, and nothing can be changed.",Overgeneralization
131,I are devastated when Ir beloved puppy passes away.,"I blame myself for my negligence. Deep down I know that if it weren't for my fault, it might still be alive.",Personalization
132,Ir lover passed away unexpectedly some time ago.,Why can't I handle any emergencies well? I really don't know what's the point of living. It's meaningless.,All-or-nothing thinking
133,"I just got promoted recently, but I'm afraid I'm not up to the task.","Learn more, understand more about the personalities and abilities of the members, and you will be able to organize everyone well.",No Distortion
134,The paper I worked so hard on was not recognized by Ir peers.,What’s the point of me working so hard? It’s all in vain. I can’t see any results at all. I no longer believe that hard work will be rewarded.,All-or-nothing thinking
135,"If I suddenly wake up at three in the morning and still feel very sleepy, Ir work tomorrow may be affected.",I'm so sleepy. I'm a little worried that my boss will scold me if I don't work well tomorrow.,Fortune-telling
136,I have been diagnosed with a brain tumor and feel confused and scared.,"Life is over, there is no hope, and this is probably the worst job on earth.",All-or-nothing thinking
137,The paper I worked so hard on was not recognized by Ir peers.,"I am a complete waste, a scientific research scum who can't do a good job of writing a paper",Labeling
138,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.","I didn’t do well on the exam today, so I was in a bad mood. Now no one wants to have dinner with me. I’m so unlucky today!",No Distortion
139,It’s frustrating that Ir parents are pushing I to get married and have kids.,I really don’t understand the meaning of getting married and having children. Is this the only meaning of life in their eyes?,All-or-nothing thinking
140,"I take the initiative to say hello, but new classmates just respond indifferently.","No matter what I did, I couldn't succeed. My world was like disintegrating glass, and the shards cut me cruelly.",All-or-nothing thinking
141,I bought a bag of duck necks and Ir throat got stuck while eating them.,Too careless. I need to be more vigilant recently.,No Distortion
142,Recently I feel that Ir height is not ideal.,"I envy their height, but they should also envy my excellent grades. No one is perfect, and no one is useless.",No Distortion
143,"Ir grades are very poor. Although I study very hard, the results are still not ideal.","This feels like rock bottom, but every time I think it is rock bottom, it isn't. Where do I go from here?",Overgeneralization
144,One time I hear Ir boyfriend or girlfriend chatting with their best friend of the opposite sex.,"If my lover betrays me, what's the point of living? No one loves me.",All-or-nothing thinking
145,I are devastated when Ir beloved puppy passes away.,"I can't even take care of a puppy, so I'm a failed owner and I won't keep any small animals anymore.",Overgeneralization
146,"This month, many Ing colleagues have come. They are very efficient and do a good job, which makes I feel a little anxious.","Being young is good. The younger generation will always be pushing the older generation forward. I will also work harder. Although young people have endless passion, experienced people have more advantages.",No Distortion
147,"I were forced to take nude photos, and I felt very uncomfortable but didn't dare to tell others.","I was seen naked, my virginity is gone, my life is ruined, my life is over",All-or-nothing thinking
148,"I eat with Ir friend every day, and suddenly one day she doesn't come to eat with I.",No one wants to eat with me. I am such a failure. I have fallen to the point where I am despised by everyone.,All-or-nothing thinking
149,I are devastated when Ir beloved puppy passes away.,It just completed its mission and returned to Wangxing to live a good life.,No Distortion
150,"In order to improve his grades, I tutored him for a period of time. He got 70 points in the exam, but I are still not satisfied with this result.",I can't even teach my own kids. I'm such an idiot.,Labeling
151,I have been very busy with work recently and have neglected the care of Ir children. I feel that I lack companionship with Ir children.,"Children from single-parent families are all like this, they can't have enough love from their father and mother, so my children can't blame me, and I can't do anything about it.",Overgeneralization
152,"I feel like I have a good relationship with Ir roommates every day, but I just can't fit in.","Everyone is just busy with their own things. Who has time to chat with people every day? They must think I am annoying, so they ignore me on purpose.",Mind Reading
153,"I woke up in the morning and wanted to sleep a little longer, but when I woke up I found that I was late.","Why do I have such a poor sense of time? I am never on time for anything, I am late for activities, and now I even oversleep in class. This is my usual style. I am a complete loser.",All-or-nothing thinking
154,"I just got promoted recently, but I'm afraid I'm not up to the task.","Since my boss has given me a promotion, it means that he recognizes my ability. I must believe in myself, work hard, and not let my boss down.",No Distortion
155,No messages or calls for two weeks.,"I have no real friends, just a few people I occasionally use Snapchat on at work, but they wouldn't even notice if I died",Mind Reading
156,The review materials I prepared do not correspond to the exam at all.,"I will continue to practice hard, just a little more practice will do the trick.",No Distortion
157,"Ir grades are very poor. Although I study very hard, the results are still not ideal.",It seems that there is a problem with your learning method. You should ask the teacher more questions and not just study blindly on your own.,No Distortion
158,"For the past month or two, I have woken up with back pain at least once a week.",I have experienced the consequences of incorrect sitting posture.,No Distortion
159,Suddenly I'm walking outside and realize Ir clothes are on inside out.,It was so embarrassing. People on the street must have seen it. Those who were whispering were secretly laughing at me and must be saying bad things about me.,Mind Reading
160,"I studied hard, expecting to do well on the test, but I just barely passed.",Sometimes I feel like the pressure of school is too great and I might be done for.,Mind Reading
161,I go to a restaurant to eat and find a small bug in Ir food.,"I can even find bugs in my food. I am so unlucky. I will definitely find bugs in my food every time I eat from now on, after all, I have eaten so much.",Overgeneralization
162,"I originally thought that I could be admitted to graduate school, but Ir name was not on the final list.","I was so confident that I would be the winner, but now everyone else will definitely laugh at me",Mind Reading
163,"Unfortunately, I've been feeling very uncomfortable lately, but the specific illness hasn't been identified yet.","I can't diagnose what disease I have, which makes me feel very stressed and anxious.",Emotional Reasoning
164,I were recently scammed and the scammer took all Ir money.,"It's completely over, there's nothing left, and my life is over.",All-or-nothing thinking
165,"It’s Chinese New Year, and at the New Year’s Eve dinner, people of Ir generation are performing their talents, but I can only eat in silence.","My brothers and sisters are all so talented, they must look down on me in their hearts, thinking that I have accomplished nothing and are unwilling to play with me at all.",Mind Reading
166,"Now I are a senior in college, and I had originally decided to find a job, but recently I have been struggling with whether to take the postgraduate entrance examination or to work, and I feel confused.","For someone like me, I hesitate about such a simple choice and cannot make up my mind about what to do in the future. I am really a waste.",Labeling
167,"We agreed to go out and play together, but I were stood up.",It's so annoying. I spent an hour putting on makeup. Why didn't you tell me earlier that you didn't have time? You're wasting my time.,No Distortion
168,"I have a low income and Ir wife has a higher income, so I feel the pressure.","My wife's income is higher than mine, which means she is attracted to me as a person, not my money.",No Distortion
169,"I are studying hard for Ir postgraduate entrance exam, and Ir girlfriend complains that I have been ignoring her lately.","I worked so hard to prepare for the postgraduate entrance examination, but my girlfriend still makes me worry. Girlfriends all over the world are like this. They are ignorant.",Overgeneralization
170,Someone bullies I and says I are an unimportant person.,"He said I was unimportant, and I was sad.",No Distortion
171,"This month, many Ing colleagues have come. They are very efficient and do a good job, which makes I feel a little anxious.","Don't worry, they are young, but I have experience and ability, so it won't be a big problem.",No Distortion
172,I and Ir classmates were playing games in an Internet cafe when the teacher suddenly came in and caught I.,The other students must be very disappointed that I didn't play in the Internet cafe all the time and I have to take their places in key schools. I wonder if anyone will stop the teacher from catching me.,Mind Reading
173,"A friend asks I out for dinner, but I already have an appointment.",I always inadvertently make my friends angry and I feel that I have caused them misfortune.,Personalization
174,Ir parents have been arguing recently and haven't paid much attention to I.,"Normal children have parents who love them, but my parents always quarreled and ignored me, so I was an unfortunate child. My childhood was full of pain and I was unhappy.",Emotional Reasoning
175,"We agreed to go out and play together, but I were stood up.",No one cares about me anymore in this life.,Overgeneralization
176,"I recently wanted to see Ir graduation photo, but I couldn't find it.",Eh? Why can't I find it? That shouldn't be the case. Forget it. I'll ask my friend tomorrow if he has it.,No Distortion
177,"I were preparing to run for president of the society. I prepared very hard and everyone around I thought I could be elected, but in the end, I unfortunately lost.","I think I can be elected and the people around me also think I can, but I didn’t in the end. There must be something shady going on.",All-or-nothing thinking
178,"I are talking to someone and their cell phone rings, but they don't pick up.",Didn't he hear the phone call because he was talking to me? I should have reminded him.,No Distortion
179,"I only have 500 yuan for living expenses per week. Ir classmates are eating all kinds of snacks, but I don’t.","They were all buying food, but I wasn't. They would definitely think that I was not sociable or that I was poor and couldn't afford it.",Mind Reading
180,"I recently broke a bone, and every time I have to ask Ir friends to accompany I downstairs and take I to class.",I lost the freedom to run and could only rely on crutches and help from friends. I felt so sad and depressed. I might as well just lie in bed and never get up again.,Emotional Reasoning
181,Ir father got drunk and angry today and kicked I out.,"Don't take it too seriously, he might be upset about something.",No Distortion
182,"The husband thinks his wife is wasting money by buying clothes every week, and the wife thinks her husband gives too much money to his family.","You spend money like water every time you buy clothes. Do you know that your family needs to save money now? If you can't save money, when you are old and sick, you will have no money and no one will take care of you. You will just wait for death!",Mind Reading
183,I recently found the mistress’s WeChat in Ir father’s phone.,"I was a bad kid and often made him angry, so he went looking for a mistress.",Personalization
184,"As a girl, Ir menstrual period was ridiculed by Ir classmates.","Menstruation is really terrible. Not only is it physically uncomfortable, but I will also be laughed at by others mentally.",Emotional Reasoning
185,"During the COVID-19 pandemic, as a medical worker, I need to work overtime without pay","If I say that we also need overtime pay, then my future life will definitely be difficult, and I will be looked down upon and squeezed out by others.",Fortune-telling
186,"Ir grades are very poor. Although I study very hard, the results are still not ideal.","I can’t let others know that my efforts have yielded no results, otherwise I will definitely be laughed at.",Mind Reading
187,"Ir colleague joined the company in the same year, and I feel that she always likes to put I down","Maybe I have an illusion, or maybe it's because this colleague often participates in some reporting work of the company.",No Distortion
188,"I are full of interest in various campus activities, but I are also worried about failure.",There is no way. I just don't have the courage to participate. It's no use saying anything. I will always be this weak and I can't change.,Overgeneralization
189,"I woke up in the morning and wanted to sleep a little longer, but when I woke up I found that I was late.","Why didn't I set an alarm before going to bed! I'm so stupid, I deserve to be scolded, I have no self-awareness at all. I'm just a stupid lazy bum.",Labeling
190,"When I discipline Ir children, they begin to talk back, express their opinions, or even openly oppose I.",I have worked so hard to teach these children for more than ten years! They are so rude to me. It's all over. I have raised them for so many years in vain. I can't count on them in this life. They are really unfilial children.,All-or-nothing thinking
